event_id,customer_id,event_type,event_time,campaign
80001,1139,sent,2024-07-01,Promo_Q1
80002,1132,open,2024-04-25,Welcome
80003,1236,sent,2025-04-30,Reactivation
80004,1161,open,2025-04-17,Promo_Q1
80005,1417,sent,2025-02-28,Welcome
80006,1557,click,2024-05-27,Welcome
80007,1404,sent,2024-07-17,Promo_Q2
80008,1165,click,2024-08-07,Welcome
80009,1226,open,2024-04-16,Promo_Q2
80010,1149,click,2025-03-14,Welcome
80011,1314,click,2024-04-16,Promo_Q1
80012,1307,click,2024-05-07,Promo_Q2
80013,1656,open,2024-01-28,Promo_Q2
80014,1736,click,2025-01-17,Promo_Q2
80015,1420,sent,2025-06-20,Promo_Q1
80016,1178,sent,2024-10-06,Reactivation
80017,1331,open,2025-06-02,Promo_Q1
80018,1504,click,2025-04-30,Reactivation
80019,1688,sent,2025-04-03,Promo_Q1
80020,1541,click,2024-04-06,Welcome
80021,1298,sent,2024-08-05,Promo_Q1
80022,1610,open,2025-01-18,Reactivation
80023,1187,click,2024-07-17,Webinar
80024,1451,click,2025-02-14,Welcome
80025,1736,open,2024-06-14,Promo_Q2
80026,1620,open,2024-08-14,Promo_Q1
80027,1084,sent,2025-02-26,Welcome
80028,1258,sent,2024-03-09,Reactivation
80029,1648,unsubscribe,2025-03-29,Promo_Q2
80030,1114,sent,2025-02-15,Reactivation
80031,1640,sent,2024-09-16,Welcome
80032,1089,open,2024-09-09,Welcome
80033,1651,sent,2025-06-07,Welcome
80034,1536,sent,2025-02-17,Welcome
80035,1547,sent,2024-12-23,Reactivation
80036,1645,sent,2025-05-13,Webinar
80037,1618,click,2024-07-10,Welcome
80038,1782,sent,2024-06-14,Promo_Q2
80039,1421,open,2024-05-01,Reactivation
80040,1786,sent,2024-10-27,Promo_Q1
80041,1616,click,2025-07-24,Promo_Q1
80042,1174,sent,2025-06-19,Reactivation
80043,1737,open,2024-09-19,Reactivation
80044,1580,click,2024-03-05,Welcome
80045,1502,sent,2025-05-19,Reactivation
80046,1569,click,2025-06-16,Promo_Q2
80047,1552,sent,2024-04-08,Promo_Q1
80048,1474,sent,2025-05-24,Promo_Q2
80049,1213,open,2024-09-14,Promo_Q2
80050,1173,open,2024-01-07,Welcome
80051,1400,open,2025-06-28,Reactivation
80052,1624,sent,2024-01-25,Promo_Q1
80053,1279,sent,2024-01-20,Promo_Q1
80054,1216,sent,2025-07-09,Promo_Q1
80055,1713,click,2024-05-03,Promo_Q2
80056,1510,sent,2024-11-16,Promo_Q1
80057,1595,open,2025-06-27,Promo_Q1
80058,1219,open,2025-06-26,Promo_Q2
80059,1104,open,2024-04-10,Welcome
80060,1051,click,2024-10-23,Promo_Q2
80061,1769,sent,2024-01-05,Promo_Q2
80062,1077,open,2024-02-22,Welcome
80063,1429,sent,2025-07-01,Webinar
80064,1004,sent,2024-08-27,Webinar
80065,1311,sent,2024-03-27,Reactivation
80066,1089,click,2024-12-30,Reactivation
80067,1650,sent,2024-04-10,Promo_Q2
80068,1471,sent,2025-07-19,Reactivation
80069,1762,open,2025-01-22,Webinar
80070,1363,sent,2024-07-31,Reactivation
80071,1030,sent,2024-08-07,Webinar
80072,1736,sent,2025-06-13,Webinar
80073,1158,click,2025-05-31,Promo_Q2
80074,1517,click,2025-07-02,Reactivation
80075,1493,open,2024-09-18,Reactivation
80076,1271,click,2025-05-05,Welcome
80077,1401,click,2024-10-06,Welcome
80078,1048,open,2024-12-31,Webinar
80079,1353,click,2024-10-19,Promo_Q2
80080,1716,click,2024-12-16,Promo_Q1
80081,1281,open,2024-10-20,Reactivation
80082,1500,open,2024-03-30,Reactivation
80083,1275,sent,2024-03-03,Webinar
80084,1059,open,2025-06-27,Webinar
80085,1181,click,2024-10-21,Reactivation
80086,1471,click,2025-06-27,Webinar
80087,1679,open,2025-01-30,Promo_Q2
80088,1773,sent,2024-02-21,Reactivation
80089,1424,click,2024-04-26,Reactivation
80090,1213,open,2025-03-18,Welcome
80091,1100,open,2024-04-12,Webinar
80092,1462,sent,2024-01-05,Welcome
80093,1019,sent,2024-03-05,Webinar
80094,1536,open,2024-10-02,Promo_Q1
80095,1090,open,2024-04-04,Reactivation
80096,1490,sent,2024-01-26,Welcome
