interaction_id,customer_id,date,type,owner
70001,1558,2024-09-13,email,Rep_C
70002,1606,2024-07-17,email,Rep_A
70003,1071,2025-05-01,email,Rep_D
70004,1700,2025-03-28,email,Rep_C
70005,1139,2025-07-21,call,Rep_D
70006,1010,2024-08-02,meeting,Rep_B
70007,1515,2025-06-07,call,Rep_C
70008,1531,2024-02-20,call,Rep_D
70009,1130,2024-08-25,email,Rep_D
70010,1401,2024-09-25,call,Rep_B
70011,1221,2024-09-11,call,Rep_B
70012,1642,2024-12-26,email,Rep_B
70013,1437,2024-04-08,chat,Rep_B
70014,1400,2025-05-14,email,Rep_B
70015,1113,2024-11-14,email,Rep_A
70016,1650,2025-06-05,email,Rep_D
70017,1452,2024-01-02,meeting,Rep_B
70018,1555,2024-12-29,chat,Rep_D
70019,1218,2024-08-25,chat,Rep_A
70020,1058,2024-10-18,call,Rep_C
70021,1113,2025-03-05,call,Rep_D
70022,1700,2024-05-11,email,Rep_D
70023,1122,2024-04-28,email,Rep_D
70024,1408,2025-02-09,meeting,Rep_C
70025,1460,2024-10-27,email,Rep_A
70026,1085,2024-05-14,email,Rep_D
70027,1618,2024-10-06,email,Rep_A
70028,1400,2024-09-22,email,Rep_D
70029,1356,2025-02-02,email,Rep_D
70030,1099,2024-01-02,email,Rep_D
70031,1521,2024-12-04,email,Rep_C
70032,1518,2024-12-15,email,Rep_A
70033,1108,2025-03-06,email,Rep_A
70034,1152,2025-05-28,meeting,Rep_B
70035,1749,2024-09-10,call,Rep_D
70036,1027,2024-07-16,call,Rep_C
70037,1119,2024-02-29,call,Rep_D
70038,1723,2024-07-13,email,Rep_A
70039,1100,2024-02-09,meeting,Rep_A
70040,1003,2025-04-08,chat,Rep_D
70041,1329,2025-04-10,email,Rep_A
70042,1529,2024-08-28,email,Rep_D
70043,1106,2024-05-29,call,Rep_D
70044,1230,2024-03-09,email,Rep_B
70045,1304,2025-05-06,chat,Rep_C
70046,1177,2025-05-21,call,Rep_C
70047,1084,2024-06-02,email,Rep_A
70048,1263,2024-12-24,email,Rep_A
70049,1196,2024-05-29,call,Rep_B
70050,1249,2024-05-09,email,Rep_A
70051,1382,2024-01-13,meeting,Rep_A
70052,1458,2024-11-29,email,Rep_D
70053,1661,2024-03-27,chat,Rep_B
70054,1718,2024-01-08,email,Rep_D
70055,1409,2024-03-01,call,Rep_D
70056,1081,2024-06-30,email,Rep_A
70057,1701,2025-01-21,email,Rep_D
70058,1412,2024-04-26,call,Rep_C
70059,1206,2025-05-27,email,Rep_C
70060,1781,2024-06-15,email,Rep_C
70061,1388,2024-07-10,email,Rep_B
70062,1767,2024-05-05,email,Rep_B
70063,1399,2024-05-26,email,Rep_C
70064,1008,2024-02-12,call,Rep_C
70065,1626,2024-06-19,email,Rep_D
70066,1517,2025-05-10,email,Rep_B
70067,1450,2025-02-01,email,Rep_A
70068,1476,2025-05-20,meeting,Rep_A
70069,1342,2024-03-01,meeting,Rep_B
70070,1073,2024-09-19,call,Rep_D
70071,1121,2024-05-12,meeting,Rep_C
70072,1302,2025-02-20,meeting,Rep_D
70073,1234,2025-07-13,email,Rep_D
70074,1066,2025-04-15,email,Rep_B
70075,1230,2024-01-21,email,Rep_C
70076,1543,2024-07-01,email,Rep_B
70077,1051,2024-01-17,call,Rep_B
70078,1659,2024-01-24,call,Rep_D
70079,1607,2024-02-15,call,Rep_B
70080,1329,2024-06-08,email,Rep_B
70081,1387,2024-06-24,call,Rep_B
70082,1038,2024-08-19,email,Rep_B
70083,1710,2024-08-21,email,Rep_D
70084,1753,2025-03-21,chat,Rep_C
70085,1173,2024-03-22,email,Rep_C
70086,1493,2024-04-01,email,Rep_D
70087,1768,2024-12-27,call,Rep_A
