order_id,customer_id,order_date,amount,product_category
50001,1019,2025-02-25,777.18,Hardware
50002,1357,2025-02-08,554.52,Service
50003,1117,2024-12-05,678.68,Service
50004,1136,2025-06-25,123.31,Software
50005,1296,2024-07-20,1017.81,Service
50006,1525,2024-05-20,280.57,Software
50007,1101,2025-01-13,346.64,Service
50008,1380,2024-04-24,206.63,Service
50009,1155,2024-06-30,1022.16,Hardware
50010,1594,2024-05-09,158.06,Hardware
50011,1600,2024-02-09,276.94,Software
50012,1105,2025-04-22,349.92,Hardware
50013,1642,2024-05-26,163.21,Service
50014,1784,2024-09-29,296.25,Service
50015,1526,2024-01-25,490.57,Software
50016,1128,2025-02-07,177.85,Hardware
50017,1401,2024-07-09,89.63,Training
50018,1572,2025-03-05,474.52,Hardware
50019,1739,2024-08-25,387.09,Training
50020,1529,2024-04-22,267.95,Software
50021,1557,2024-10-23,175.71,Hardware
50022,1550,2024-03-16,40.99,Service
50023,1124,2024-09-11,627.26,Software
50024,1360,2024-07-02,141.47,Service
50025,1064,2025-06-10,155.02,Service
50026,1765,2024-02-05,155.59,Software
50027,1774,2025-02-04,514.3,Software
50028,1624,2024-04-15,743.05,Software
50029,1102,2024-07-03,160.19,Software
50030,1561,2024-08-27,128.8,Software
50031,1277,2025-06-07,248.14,Software
50032,1227,2024-05-19,185.08,Software
50033,1023,2024-02-22,121.55,Training
50034,1697,2024-07-02,603.49,Hardware
50035,1064,2024-03-01,439.62,Software
50036,1157,2024-03-15,94.34,Training
50037,1795,2024-11-27,343.17,Service
50038,1390,2024-02-05,323.7,Service
50039,1149,2024-01-18,452.39,Service
50040,1363,2025-02-16,101.37,Software
50041,1681,2024-07-27,576.09,Software
50042,1464,2024-03-13,231.59,Software
50043,1645,2024-05-26,417.42,Service
50044,1399,2025-01-05,120.58,Service
50045,1405,2024-06-07,187.93,Hardware
50046,1132,2024-10-12,162.1,Software
50047,1197,2024-03-11,63.61,Hardware
50048,1647,2024-12-05,122.78,Service
50049,1035,2024-07-01,155.93,Training
50050,1420,2024-12-27,245.64,Software
50051,1377,2025-04-11,433.33,Training
50052,1399,2024-12-18,575.68,Hardware
50053,1220,2024-06-19,500.21,Service
50054,1697,2024-05-27,526.43,Service
50055,1517,2024-07-07,679.68,Software
50056,1583,2024-04-04,290.42,Training
50057,1342,2024-04-14,538.11,Software
50058,1753,2025-04-01,191.04,Service
50059,1416,2024-08-09,276.63,Software
50060,1456,2024-09-08,263.7,Software
50061,1297,2024-12-08,368.6,Service
50062,1331,2024-12-06,260.71,Training
50063,1705,2024-02-08,142.07,Service
50064,1680,2025-04-24,182.92,Training
50065,1339,2024-04-12,227.35,Service
50066,1748,2025-02-21,59.39,Software
50067,1298,2025-03-21,635.61,Software
50068,1760,2025-02-16,328.36,Hardware
50069,1677,2024-11-30,373.74,Software
50070,1312,2024-01-09,478.06,Service
50071,1583,2024-07-26,475.83,Software
50072,1743,2024-12-14,165.34,Software
50073,1055,2024-08-11,399.12,Hardware
50074,1694,2025-05-13,404.89,Service
50075,1534,2024-06-27,273.42,Software
50076,1795,2024-06-18,132.03,Software
50077,1105,2024-06-02,342.93,Software
50078,1175,2024-07-11,848.88,Software
50079,1294,2024-11-17,232.44,Service
50080,1551,2025-02-11,242.69,Service
50081,1375,2025-01-17,327.09,Software
50082,1450,2025-04-11,580.24,Software
50083,1445,2025-05-26,65.44,Software
50084,1060,2025-04-15,726.81,Software
50085,1392,2024-01-11,58.99,Service
50086,1390,2025-02-28,883.11,Software
50087,1212,2024-04-30,302.47,Software
50088,1667,2024-03-17,112.87,Hardware
50089,1685,2025-01-03,228.51,Software
50090,1535,2024-07-03,47.11,Service
50091,1240,2024-02-02,220.72,Service
50092,1488,2024-03-20,261.49,Software
50093,1721,2024-01-01,391.3,Hardware
50094,1122,2025-06-05,335.38,Service
50095,1253,2024-01-15,149.55,Service
50096,1141,2024-04-30,298.8,Service
50097,1452,2024-08-28,250.22,Hardware
50098,1153,2024-07-24,92.29,Training
50099,1726,2025-06-10,193.56,Service
50100,1308,2024-01-24,411.22,Hardware
50101,1560,2024-10-22,323.89,Software
50102,1317,2025-01-27,106.82,Service
50103,1529,2025-06-21,269.99,Software
50104,1296,2024-12-23,110.69,Software
50105,1345,2025-04-08,225.31,Service
50106,1581,2024-02-18,217.66,Hardware
50107,1597,2024-08-10,302.28,Software
50108,1282,2024-08-03,281.03,Service
50109,1208,2025-05-26,111.09,Service
50110,1552,2024-03-28,189.81,Software
50111,1096,2024-03-28,125.52,Software
50112,1452,2024-07-08,246.67,Software
50113,1762,2024-02-01,113.49,Software
50114,1373,2024-04-15,484.56,Service
50115,1648,2025-07-10,186.75,Software
50116,1073,2024-09-04,1064.43,Software
50117,1785,2024-12-30,309.71,Service
50118,1681,2025-02-22,92.34,Service
50119,1333,2024-07-30,97.87,Software
50120,1393,2024-03-25,622.01,Software
50121,1710,2024-04-29,89.95,Software
50122,1106,2024-06-29,597.38,Hardware
50123,1101,2025-01-02,390.52,Hardware
50124,1359,2024-08-17,305.02,Hardware
50125,1747,2024-01-04,601.98,Software
50126,1792,2024-10-29,473.92,Service
50127,1329,2025-06-15,238.08,Software
50128,1618,2025-04-13,62.12,Software
50129,1395,2025-04-21,395.94,Software
50130,1035,2025-04-03,124.24,Hardware
50131,1157,2024-07-05,132.77,Service
50132,1273,2025-03-17,232.21,Service
50133,1396,2024-03-23,167.91,Service
50134,1752,2025-01-14,252.07,Software
50135,1207,2025-01-05,220.12,Software
50136,1757,2024-01-15,287.28,Service
50137,1605,2025-03-30,372.9,Service
50138,1621,2025-06-05,675.09,Hardware
50139,1306,2024-06-03,430.54,Software
50140,1626,2025-04-13,355.78,Hardware
50141,1536,2024-02-17,202.9,Software
50142,1462,2024-12-12,180.71,Service
50143,1252,2024-10-07,53.08,Service
50144,1267,2024-11-10,211.72,Training
50145,1209,2025-06-18,399.84,Software
50146,1567,2025-05-17,77.13,Service
50147,1539,2025-03-28,235.01,Service
50148,1503,2024-06-06,282.89,Software
50149,1514,2025-06-10,338.45,Software
50150,1580,2024-02-26,371.07,Hardware
50151,1148,2025-05-07,477.63,Software
50152,1642,2024-07-08,92.39,Software
50153,1083,2024-02-01,310.56,Training
50154,1042,2025-01-21,268.09,Hardware
50155,1156,2024-05-13,53.56,Software
50156,1669,2024-05-20,646.39,Service
50157,1453,2024-06-25,470.11,Service
50158,1619,2024-02-06,126.22,Hardware
50159,1284,2024-04-12,173.24,Hardware
50160,1188,2024-01-03,195.51,Hardware
50161,1617,2024-09-14,635.3,Software
50162,1624,2024-02-18,399.74,Service
50163,1474,2025-01-28,388.0,Software
50164,1507,2024-05-15,282.3,Software
50165,1133,2025-06-28,492.76,Hardware
50166,1271,2025-05-17,44.16,Software
50167,1622,2024-06-16,230.94,Service
50168,1073,2025-03-27,489.03,Hardware
50169,1436,2025-04-08,469.53,Software
50170,1293,2025-07-23,625.86,Software
50171,1655,2024-12-10,508.07,Hardware
50172,1772,2024-02-17,149.36,Training
50173,1757,2025-01-08,100.59,Hardware
50174,1437,2024-12-26,331.81,Service
50175,1667,2025-01-03,656.43,Software
50176,1661,2024-06-26,197.98,Software
50177,1060,2025-05-11,321.08,Service
50178,1598,2025-07-07,606.52,Software
50179,1704,2024-05-05,137.35,Hardware
